,rank,song,artist,last_week_rank,peak_rank,weeks
0,1,Rapstar,Polo G,1,1,2
1,2,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),3,1,7
2,3,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,4,1,5
3,4,Montero (Call Me By Your Name),Lil Nas X,2,1,4
4,5,Levitating,Dua Lipa Featuring DaBaby,6,5,29
5,6,Save Your Tears,The Weeknd,5,4,19
6,7,Astronaut In The Ocean,Masked Wolf,10,7,10
7,8,Kiss Me More,Doja Cat Featuring SZA,7,7,2
8,9,Up,Cardi B,8,1,11
9,10,Drivers License,Olivia Rodrigo,9,1,15
10,11,Deja Vu,Olivia Rodrigo,15,8,3
11,12,Solid,Young Thug & Gunna Featuring Drake,-,12,1
12,13,Blinding Lights,The Weeknd,11,1,72
13,14,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,12,12,14
14,15,Best Friend,Saweetie Featuring Doja Cat,17,14,15
15,16,Calling My Phone,Lil Tjay Featuring 6LACK,13,3,10
16,17,What You Know Bout Love,Pop Smoke,14,9,33
17,18,Ski,Young Thug & Gunna,-,18,1
18,19,Mood,24kGoldn Featuring iann dior,18,1,37
19,20,Heartbreak Anniversary,Giveon,26,20,10
20,21,The Good Ones,Gabby Barrett,19,19,17
21,22,Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,27,22,7
22,23,Back In Blood,Pooh Shiesty Featuring Lil Durk,20,13,16
23,24,Go Crazy,Chris Brown & Young Thug,22,3,50
24,25,You Broke Me First.,Tate McRae,23,17,35
25,26,34+35,Ariana Grande,21,2,25
26,27,My Ex's Best Friend,Machine Gun Kelly X blackbear,28,21,36
27,28,What's Next,Drake,25,1,7
28,29,Dakiti,Bad Bunny & Jhay Cortez,34,5,25
29,30,Therefore I Am,Billie Eilish,24,2,24
30,31,Without You,The Kid LAROI,32,30,20
31,32,On Me,Lil Baby,33,23,20
32,33,Positions,Ariana Grande,31,1,26
33,34,You're Mines Still,Yung Bleu Featuring Drake,29,18,20
34,35,Forever After All,Luke Combs,44,2,26
35,36,Wants And Needs,Drake Featuring Lil Baby,47,2,7
36,37,Track Star,Mooski,35,35,9
37,38,We're Good,Dua Lipa,45,38,10
38,39,Heat Waves,Glass Animals,41,39,14
39,40,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,36,6,42
40,41,Hell Of A View,Eric Church,58,41,15
41,42,Made For You,Jake Owen,43,42,9
42,43,No More Parties,Coi Leray Featuring Lil Durk,37,26,11
43,44,Good Days,SZA,39,9,17
44,45,Starting Over,Chris Stapleton,42,25,34
45,46,Diamonds Dancing,Young Thug & Gunna Featuring Travis Scott,-,46,1
46,47,Goosebumps,Travis Scott & HVME,50,47,14
47,48,Tombstone,Rod Wave,38,11,5
48,49,Breaking Up Was Easy In The 90's,Sam Hunt,67,49,8
49,50,Somebody Like That,Tenille Arts,59,50,14
50,51,Streets,Doja Cat,48,16,15
51,52,What's Your Country Song,Thomas Rhett,54,29,18
52,53,Time Today,Moneybagg Yo,51,37,11
53,54,Telepatia,Kali Uchis,56,39,9
54,55,Cry Baby,Megan Thee Stallion Featuring DaBaby,49,28,20
55,56,Hold On,Justin Bieber,63,20,7
56,57,Street Runner,Rod Wave,53,16,6
57,58,Just The Way,Parmalee x Blanco Brown,57,31,17
58,59,Proud Of You,Young Thug Featuring Lil Uzi Vert & Yung Kayo,-,59,1
59,60,Willow,Taylor Swift,62,1,19
60,61,Damage,H.E.R.,68,44,19
61,62,Richer,Rod Wave Featuring Polo G,55,22,4
62,63,Glad You Exist,Dan + Shay,78,63,11
63,64,La Noche de Anoche,Bad Bunny & Rosalia,74,53,13
64,65,Settling Down,Miranda Lambert,76,65,6
65,66,Came And Saw,Young Thug Featuring Rowdy Rebel,-,66,1
66,67,Headshot,"Lil Tjay, Polo G & Fivio Foreign",64,42,5
67,68,Anyone,Justin Bieber,70,6,16
68,69,Down To One,Luke Bryan,61,36,17
69,70,Lady,Brett Young,66,52,15
70,71,Quicksand,Morray,85,71,11
71,72,One Too Many,Keith Urban Duet With P!nk,96,62,19
72,73,Famous Friends,Chris Young + Kane Brown,90,73,4
73,74,Gone,Dierks Bentley,99,74,6
74,75,My Head And My Heart,Ava Max,73,45,11
75,76,Almost Maybes,Jordan Davis,80,73,13
76,77,Paid The Fine,Young Thug & Gunna Featuring Lil Baby & YTB Trench,-,77,1
77,78,The Business,Tiesto,83,69,9
78,79,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,-,79,2
79,80,Masterpiece,DaBaby,82,55,13
80,81,pov,Ariana Grande,-,40,7
81,82,Long Live,Florida Georgia Line,60,45,16
82,83,Hellcats & Trackhawks,Lil Durk,77,69,6
83,84,Follow You,Imagine Dragons,-,83,3
84,85,Momma's House,Dustin Lynch,69,59,15
85,86,Nobody,Dylan Scott,91,85,8
86,87,Big Gangsta,Kevin Gates,81,81,2
87,88,Pick Up Your Feelings,Jazmine Sullivan,86,75,13
88,89,Lil Bit,Nelly & Florida Georgia Line,92,89,5
89,90,Mr. Perfectly Fine (Taylor's Version) (From The Vault),Taylor Swift,30,30,3
90,91,Chasing After You,Ryan Hurd With Maren Morris,-,91,1
91,92,Wasted On You,Morgan Wallen,97,9,15
92,93,Run It Up,Lil Tjay Featuring Offset & Moneybagg Yo,79,50,3
93,94,Arcade,Duncan Laurence,-,94,2
94,95,You Got It,VEDO,-,75,16
95,96,Go!,Moneybagg Yo Featuring BIG30,-,96,1
96,97,Drankin N Smokin,Future & Lil Uzi Vert,-,31,12
97,98,Monsters,All Time Low Featuring Demi Lovato & blackbear ,95,55,17
98,99,Slatty,Young Thug & Gunna Featuring Yak Gotti & Lil Duke,-,99,1
99,100,4 Da Gang,42 Dugg & Roddy Ricch,84,67,3
